,mol,chemsys,ip_gas,ip_sol,ea_gas,ea_sol,EW_gas,EW_sol
0,1,C-H-O,8.070156557512538,5.636122424870916,-3.2156878259070973,-1.3305998839384965,11.285844383419636,6.966722308809413
1,2,C-H-O,7.507010487047125,5.396336064247944,-2.5841177305695684,-0.5718092829016284,10.091128217616694,5.968145347149572
2,3,C-H-O-S,7.499960391706791,5.70116577616702,-0.7418388828999427,0.9695366735758784,8.241799274606734,4.731629102591142
3,3,C-H-O-S,7.500174292229511,5.663271166838218,-0.7418929305695539,0.97213362901589,8.242067222799065,4.691137537822328
4,4,C-H-O-S,8.72642824248784,6.284807794819301,-2.8870612974094527,0.6897828974079507,11.613489539897293,5.59502489741135
5,5,C-H-O-S,8.179854895336225,5.862632458030454,-2.970600078755869,-1.4524970715025045,11.150454974092094,7.315129529532959
6,6,C-H-O-S,8.296030897408642,6.001866688082755,-2.954951689118338,0.482478080828518,11.25098258652698,5.519388607254237
7,7,C-H-O-S,8.403737635234194,5.967176868395201,-0.8201866093253132,1.0524768352324632,9.223924244559509,4.914700033162738
8,8,C-H-O-S,7.514132951293687,5.048547481865194,-2.7546985844547063,-1.3171959274630296,10.268831535748394,6.365743409328224
9,9,C-H-O-S,7.848676298449106,5.7820186362677415,-2.80209415958782,-1.3802352849733772,10.650770458036927,7.162253921241119
10,10,C-H-O-S,7.65372296372831,5.497853939895453,-2.824507695336158,0.7741363813486997,10.478230659064469,4.7237175585467535
11,11,C-F-H-O-S,7.759012402071567,5.434525995854651,-1.0580229968894197,0.5555631917082229,8.817035398960988,4.878962804146428
12,12,C-H-O-S,7.679938831092793,5.563660370982543,-1.103364383422107,0.5102583398962643,8.7833032145149,5.053402031086279
13,13,C-H-O-S,7.140168565803357,4.950557981347497,-2.7636072891185526,0.6392112538858048,9.90377585492191,4.311346727461693
14,13,C-H-O-S,7.140168565803357,4.950557981347497,-2.7636072891185526,0.6201902466321463,9.90377585492191,4.330367734715351
15,14,C-H-O,8.249177873574883,6.019897001037201,-2.6302162963716507,-0.5176855274619612,10.879394169946533,6.537582528499162
16,15,C-H-O,8.477317015543974,6.070659427979985,-2.6618386818653303,-0.4946255481868823,11.139155697409304,6.565284976166868
17,16,C-H-O,9.089843525387826,6.526950375129927,-2.5924113803104025,-0.3529481264255147,11.682254905698228,6.8798985015554415
18,17,C-H-O,8.11973327668551,5.991161208289267,-2.54065365181347,-0.5033593119150022,10.66038692849898,6.494520520204269
19,18,C-H-O,7.4513415233155165,5.419447989637481,-2.5123947772015187,-0.5960260331617284,9.963736300517034,6.01547402279921
